time,corridor,hs6,desc,value_usd
2023-01,CN->BR,283010,,889093.0
2023-01,CN->BR,283090,,102689
2023-01,CN->BR,283110,,343944.0
2023-01,CN->BR,283210,,939786.0
2023-01,CN->BR,283311,,1981916
2023-01,CN->BR,283321,,224334
2023-01,CN->BR,283327,,195061
2023-01,CN->BR,283329,,2155144.0
2023-01,CN->BR,283340,,326353.0
2023-01,CN->BR,283410,,117846
2023-01,CN->BR,283429,,31224
2023-01,CN->BR,283510,,324785.0
2023-01,CN->BR,283522,,187092
2023-01,CN->BR,283524,,272789
2023-01,CN->BR,283525,,1242473
2023-01,CN->BR,283526,,2959547
2023-01,CN->BR,283529,,156074
2023-01,CN->BR,283531,,2533167.0
2023-01,CN->BR,283539,,647643.0
2023-01,CN->BR,283620,,573035
2023-01,CN->BR,283630,,50464
2023-01,CN->BR,283640,,46690
2023-01,CN->BR,283660,,32053
2023-01,CN->BR,283691,,205
2023-01,CN->BR,283699,,1281825.0
2023-01,CN->BR,283711,,106292
2023-01,CN->BR,283720,,85282
2023-01,CN->BR,283911,,10117
2023-01,CN->BR,283990,,9471.0
2023-01,CN->BR,284020,,52
2023-01,CN->BR,284030,,72935
2023-01,CN->BR,284169,,414
2023-01,CN->BR,284190,,6915.0
2023-01,CN->BR,284210,,97436.0
2023-01,CN->BR,284290,,128803
2023-01,CN->BR,284329,,100
2023-01,CN->BR,284390,,39306
2023-01,CN->BR,284690,,135056
2023-01,CN->BR,284920,,26250
2023-01,CN->BR,284990,,28991.0
2023-01,CN->BR,285000,,20580
2023-01,CN->BR,290122,,223178
2023-01,CN->BR,290129,,17709
2023-01,CN->BR,290219,,220415
2023-01,CN->BR,290270,,61
2023-01,CN->BR,290290,,107705.0
2023-01,CN->BR,290311,,53276
2023-01,CN->BR,290312,,587429
2023-01,CN->BR,290322,,76479
2023-01,CN->BR,290323,,27892
2023-01,CN->BR,290342,,2134943
2023-01,CN->BR,290344,,2954681
2023-01,CN->BR,290345,,3304771
2023-01,CN->BR,290346,,25308
2023-01,CN->BR,290369,,339726
2023-01,CN->BR,290371,,2311198
2023-01,CN->BR,290372,,2136
2023-01,CN->BR,290373,,107675
2023-01,CN->BR,290391,,754729
2023-01,CN->BR,290399,,386270.0
2023-01,CN->BR,290410,,144454.0
2023-01,CN->BR,290420,,19
2023-01,CN->BR,290499,,192236.0
2023-01,CN->BR,290512,,60335.0
2023-01,CN->BR,290513,,1535202
2023-01,CN->BR,290514,,43786
2023-01,CN->BR,290516,,29306
2023-01,CN->BR,290517,,150043.0
2023-01,CN->BR,290519,,416936.0
2023-01,CN->BR,290522,,409727.0
2023-01,CN->BR,290529,,304386
2023-01,CN->BR,290531,,116382
2023-01,CN->BR,290532,,1500559
2023-01,CN->BR,290539,,1144188.0
2023-01,CN->BR,290541,,276595
2023-01,CN->BR,290542,,351875
2023-01,CN->BR,290543,,134745
2023-01,CN->BR,290544,,511144
2023-01,CN->BR,290545,,12
2023-01,CN->BR,290549,,956145
2023-01,CN->BR,290559,,1273346
2023-01,CN->BR,290611,,471643
2023-01,CN->BR,290612,,19
2023-01,CN->BR,290613,,552499
2023-01,CN->BR,290619,,441933.0
2023-01,CN->BR,290621,,90363
2023-01,CN->BR,290629,,213760.0
2023-01,CN->BR,290712,,28
2023-01,CN->BR,290719,,542891.0
2023-01,CN->BR,290721,,182894
2023-01,CN->BR,290729,,548888
2023-01,CN->BR,290819,,18
2023-01,CN->BR,290899,,88
2023-01,CN->BR,290919,,332218.0
2023-01,CN->BR,290920,,115638
2023-01,CN->BR,290930,,2673238.0
2023-01,CN->BR,290941,,89180
2023-01,CN->BR,290943,,391786.0
2023-01,CN->BR,290944,,22196.0
2023-01,CN->BR,290949,,519711.0
2023-01,CN->BR,290950,,36804.0
2023-01,CN->BR,290960,,182347
2023-01,CN->BR,291030,,600344
2023-01,CN->BR,291090,,377117
2023-01,CN->BR,291100,,14596
2023-01,CN->BR,291219,,390469.0
2023-01,CN->BR,291221,,2607
2023-01,CN->BR,291229,,139002
2023-01,CN->BR,291241,,1284116
2023-01,CN->BR,291242,,261606
2023-01,CN->BR,291249,,105146.0
2023-01,CN->BR,291300,,80720
2023-01,CN->BR,291412,,95475
2023-01,CN->BR,291419,,228424.0
2023-01,CN->BR,291422,,133210
2023-01,CN->BR,291423,,139221.0
2023-01,CN->BR,291429,,1109133.0
2023-01,CN->BR,291439,,566288.0
2023-01,CN->BR,291440,,288926.0
2023-01,CN->BR,291450,,592481
2023-01,CN->BR,291462,,293030
2023-01,CN->BR,291469,,188194.0
2023-01,CN->BR,291479,,74696.0
2023-01,CN->BR,291511,,1078386
2023-01,CN->BR,291512,,1051068.0
2023-01,CN->BR,291513,,106097
2023-01,CN->BR,291521,,2574152
2023-01,CN->BR,291529,,31815.0
2023-01,CN->BR,291531,,3977
2023-01,CN->BR,291532,,438779
2023-01,CN->BR,291533,,90037
2023-01,CN->BR,291539,,1969779.0
2023-01,CN->BR,291540,,49250
2023-01,CN->BR,291550,,273460.0
2023-01,CN->BR,291560,,101640.0
2023-01,CN->BR,291570,,100375.0
2023-01,CN->BR,291590,,473437.0
2023-01,CN->BR,291611,,650336
2023-01,CN->BR,291612,,1494660.0
2023-01,CN->BR,291613,,114937
2023-01,CN->BR,291614,,1096307.0
2023-01,CN->BR,291615,,48
2023-01,CN->BR,291619,,2630108.0
2023-01,CN->BR,291620,,16944906.0
2023-01,CN->BR,291631,,672200.0
2023-01,CN->BR,291632,,73053
2023-01,CN->BR,291639,,980692.0
2023-01,CN->BR,291711,,197395.0
2023-01,CN->BR,291712,,73845.0
2023-01,CN->BR,291713,,157653.0
2023-01,CN->BR,291714,,1430233
2023-01,CN->BR,291719,,857384.0
2023-01,CN->BR,291720,,376606
2023-01,CN->BR,291732,,111506
2023-01,CN->BR,291733,,242779
2023-01,CN->BR,291734,,161926
2023-01,CN->BR,291735,,423122
2023-01,CN->BR,291736,,7443062
2023-01,CN->BR,291739,,1300282.0
2023-01,CN->BR,291811,,212527
2023-01,CN->BR,291812,,44480
2023-01,CN->BR,291814,,4400885
2023-01,CN->BR,291815,,991445
2023-01,CN->BR,291816,,239648.0
2023-01,CN->BR,291819,,1389460.0
2023-01,CN->BR,291821,,292257.0
2023-01,CN->BR,291822,,256391.0
2023-01,CN->BR,291823,,436633
2023-01,CN->BR,291829,,533474.0
2023-01,CN->BR,291830,,1881695.0
2023-01,CN->BR,291899,,6148459.0
2023-01,CN->BR,291990,,1608406.0
2023-01,CN->BR,292019,,473218
2023-01,CN->BR,292029,,123659.0
2023-01,CN->BR,292090,,173268.0
2023-01,CN->BR,292111,,69347.0
2023-01,CN->BR,292119,,1452445.0
2023-01,CN->BR,292129,,669015.0
2023-01,CN->BR,292130,,207502.0
2023-01,CN->BR,292141,,150114
2023-01,CN->BR,292142,,2081591.0
2023-01,CN->BR,292143,,97576.0
2023-01,CN->BR,292145,,27640
2023-01,CN->BR,292149,,296898.0
2023-01,CN->BR,292151,,1750490.0
2023-01,CN->BR,292159,,537493.0
2023-01,CN->BR,292211,,524197
2023-01,CN->BR,292212,,5844
2023-01,CN->BR,292219,,530741.0
2023-01,CN->BR,292221,,54063
2023-01,CN->BR,292229,,227473.0
2023-01,CN->BR,292239,,173940
2023-01,CN->BR,292241,,5355110.0
2023-01,CN->BR,292242,,168227.0
2023-01,CN->BR,292249,,6529819.0
2023-01,CN->BR,292250,,5424329.0
2023-01,CN->BR,292310,,170444
2023-01,CN->BR,292320,,6155
2023-01,CN->BR,292390,,1546385.0
2023-01,CN->BR,292419,,4819334.0
2023-01,CN->BR,292421,,348842.0
2023-01,CN->BR,292429,,11552876.0
2023-01,CN->BR,292511,,1393652
2023-01,CN->BR,292519,,1595002
2023-01,CN->BR,292529,,6705523.0
2023-01,CN->BR,292610,,78816
2023-01,CN->BR,292620,,551402
2023-01,CN->BR,292690,,6941429.0
2023-01,CN->BR,292700,,726910.0
2023-01,CN->BR,292800,,627090.0
2023-01,CN->BR,292910,,16036102.0
2023-01,CN->BR,292990,,1615247.0
2023-01,CN->BR,293020,,27583.0
2023-01,CN->BR,293030,,111244.0
2023-01,CN->BR,293040,,1942986
2023-01,CN->BR,293090,,31114304.0
2023-01,CN->BR,293149,,4661552.0
2023-01,CN->BR,293154,,41875
2023-01,CN->BR,293159,,207637
2023-01,CN->BR,293190,,1635049.0
2023-01,CN->BR,293212,,950493
2023-01,CN->BR,293213,,4691976.0
2023-01,CN->BR,293214,,2168231
2023-01,CN->BR,293219,,195417
2023-01,CN->BR,293220,,10153395
2023-01,CN->BR,293299,,16831785.0
2023-01,CN->BR,293311,,8385973.0
2023-01,CN->BR,293319,,7631686.0
2023-01,CN->BR,293321,,1834030.0
2023-01,CN->BR,293329,,946453.0
2023-01,CN->BR,293331,,45157
2023-01,CN->BR,293339,,50956701.0
2023-01,CN->BR,293349,,326080.0
2023-01,CN->BR,293359,,3937657.0
2023-01,CN->BR,293361,,1400169
2023-01,CN->BR,293369,,15930781.0
2023-01,CN->BR,293379,,876396.0
2023-01,CN->BR,293399,,27663478.0
2023-01,CN->BR,293410,,33109604.0
2023-01,CN->BR,293420,,3305832.0
2023-01,CN->BR,293430,,12950
2023-01,CN->BR,293499,,18642328.0
2023-01,CN->BR,293590,,5369600.0
2023-01,CN->BR,293621,,576451.0
2023-01,CN->BR,293622,,259060.0
2023-01,CN->BR,293623,,514276
2023-01,CN->BR,293624,,2178154.0
2023-01,CN->BR,293625,,406987.0
2023-01,CN->BR,293626,,830107.0
2023-01,CN->BR,293627,,2294327.0
2023-01,CN->BR,293628,,4016188.0
2023-01,CN->BR,293629,,1823348.0
2023-01,CN->BR,293690,,289366
2023-01,CN->BR,293719,,20850.0
2023-01,CN->BR,293721,,1808133.0
2023-01,CN->BR,293722,,270389.0
2023-01,CN->BR,293723,,1429945.0
2023-01,CN->BR,293729,,2020823.0
2023-01,CN->BR,293790,,348388.0
2023-01,CN->BR,293890,,1691966.0
2023-01,CN->BR,293930,,2104710
2023-01,CN->BR,293979,,33559
2023-01,CN->BR,293980,,55016
2023-01,CN->BR,294000,,897661.0
2023-01,CN->BR,294110,,2330928.0
2023-01,CN->BR,294120,,148354.0
2023-01,CN->BR,294130,,2312988.0
2023-01,CN->BR,294140,,1865754.0
2023-01,CN->BR,294150,,10293.0
2023-01,CN->BR,294190,,8321803.0
2023-01,CN->BR,294200,,5506
2023-01,CN->BR,300190,,249164
2023-01,CN->BR,300212,,411163.0
2023-01,CN->BR,300213,,744042
2023-01,CN->BR,300215,,1148402
2023-01,CN->BR,300249,,128454.0
2023-01,CN->BR,300290,,150969
2023-01,CN->BR,300310,,813563.0
2023-01,CN->BR,300320,,2286383.0
2023-01,CN->BR,300390,,3948237.0
2023-01,CN->BR,300410,,140225
2023-01,CN->BR,300439,,506631.0
2023-01,CN->BR,300490,,5734748.0
2023-01,CN->BR,300510,,1052493.0
